trial,method,budget,alpha,rank,theta1,theta2,true_delta,delta_hat,parameter_covered,point_sign_error,interval_type,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
0,random,8,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,scalar_wald,0,0.2647194281808351,0.5944876595302633,0.3297682313494282,1,1,0,0
0,random,8,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,shared_parameter_set,0,0.18423546674561064,0.6749716209654878,0.49073615421987715,1,1,0,0
0,random,8,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,scalar_wald,0,0.23313200192015834,0.6260750857909401,0.3929430838707817,1,1,0,0
0,random,8,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,shared_parameter_set,0,0.1253823946543241,0.7338246930567743,0.6084422984024502,1,1,0,0
0,random,8,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.4296035438555492,1,0,scalar_wald,0,0.17139616911678435,0.6878109185943141,0.5164147494775297,1,1,0,0
0,random,16,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,0,0,shared_parameter_set,0,0.2868073562334638,0.45393843302211817,0.16713107678865435,0,1,0,0
0,random,16,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,0,0,scalar_wald,0,0.3225016364944757,0.41824415276110627,0.09574251626663055,0,1,0,0
0,random,16,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,0,0,shared_parameter_set,0,0.24303677865420292,0.49770901060137906,0.25467223194717614,0,1,0,0
0,random,16,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,0,0,scalar_wald,0,0.2794160108686161,0.46132977838696587,0.18191376751834976,0,1,0,0
0,random,16,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,1,0,shared_parameter_set,0,0.2180650299642325,0.5226807592913495,0.304615729327117,1,1,0,0
0,random,16,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,1,0,scalar_wald,0,0.25363099818767043,0.48711479106791156,0.23348379288024113,0,1,0,0
0,random,16,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,1,0,shared_parameter_set,0,0.19664642904034335,0.5440993602152386,0.3474529311748953,1,1,0,0
0,random,16,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,1,0,scalar_wald,0,0.23126634510848132,0.5094794441471007,0.27821309903861935,0,1,0,0
0,random,16,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.370372894627791,1,0,shared_parameter_set,0,0.15497704676450075,0.5857687424910812,0.4307916957265805,1,1,0,0
