method,interval_type,budget,alpha,trials,parameter_coverage,delta_coverage,delta_coverage_wilson95_low,delta_coverage_wilson95_high,decision_coverage,decision_coverage_wilson95_low,decision_coverage_wilson95_high,claims,incorrect_claims,unconditional_incorrect_claim_rate,selective_risk,selective_risk_wilson95_low,selective_risk_wilson95_high,sign_errors,empty_sets,mean_interval_width_nonempty,point_ranking_error_rate
random,shared_parameter_set,8,0.05,300,0.97,0.9866666666666667,0.9662244697474675,0.9948030382606411,0.37666666666666665,0.3237203650702255,0.4327315678318291,113,0,0.0,0.0,0.0,0.03287753216595198,0,0,0.5345448985816302,0.11666666666666667
random,scalar_wald,8,0.05,300,0.97,0.95,0.9191529665272558,0.9694683593706526,0.4666666666666667,0.41099110566704244,0.5231850924145939,140,0,0.0,0.0,1.734723475976807e-18,0.026706200369412993,0,0,0.43602294120136575,0.11666666666666667
random,shared_parameter_set,8,0.01,300,0.9966666666666667,1.0,0.9873570287754538,0.9999999999999998,0.29333333333333333,0.24468634082804494,0.34720608727810065,88,0,0.0,0.0,0.0,0.0418270666648922,0,0,0.655291832961941,0.11666666666666667
random,scalar_wald,8,0.01,300,0.9966666666666667,0.9933333333333333,0.9760224167496929,0.998169851642088,0.36666666666666664,0.3141415065082282,0.4225632858183173,110,0,0.0,0.0,0.0,0.033743935298164184,0,0,0.5707496686938566,0.11666666666666667
random,shared_parameter_set,16,0.5,300,0.5266666666666666,0.8,0.7510710762322137,0.8413431410330587,0.6866666666666666,0.6320976883026915,0.7365156024401446,206,1,0.0033333333333333335,0.0048543689320388345,0.0008574298980504168,0.026980056809881546,0,0,0.17936384775631425,0.08
random,scalar_wald,16,0.5,300,0.5266666666666666,0.5466666666666666,0.49009847513929183,0.6020548475464171,0.7733333333333333,0.7226746795338672,0.8170804961967142,232,6,0.02,0.02586206896551724,0.011905530664315073,0.05526441858849247,0,0,0.10280945802738845,0.08
random,shared_parameter_set,16,0.2,300,0.8333333333333334,0.9466666666666667,0.9151308582251686,0.9669080874809034,0.5933333333333334,0.5369084052348393,0.6473982401365789,178,0,0.0,0.0,1.734723475976807e-18,0.021125318976251826,0,0,0.27305877557173214,0.08
random,scalar_wald,16,0.2,300,0.8333333333333334,0.8233333333333334,0.7761675879076233,0.8623232907005036,0.6633333333333333,0.6080919973085686,0.7144446320914131,199,0,0.0,0.0,0.0,0.018938233056634942,0,0,0.195341177311425,0.08
random,shared_parameter_set,16,0.1,300,0.9233333333333333,0.9733333333333334,0.9482710570494102,0.9864269301913529,0.5433333333333333,0.48677384505565635,0.5987970974382163,163,0,0.0,0.0,0.0,0.023024605801502687,0,0,0.32623862798454134,0.08
random,scalar_wald,16,0.1,300,0.9233333333333333,0.92,0.8837267595665261,0.9456531446048553,0.61,0.553748567961591,0.6634699783690088,183,0,0.0,0.0,0.0,0.02055999158292086,0,0,0.250717686773007,0.08
random,shared_parameter_set,16,0.05,300,0.9666666666666667,1.0,0.9873570287754538,0.9999999999999998,0.5033333333333333,0.44707193979203275,0.5595104403998036,151,0,0.0,0.0,-1.734723475976807e-18,0.02480898106974387,0,0,0.3716191838274525,0.08
random,scalar_wald,16,0.05,300,0.9666666666666667,0.96,0.9313957879613599,0.9769726785120576,0.5666666666666667,0.5100989219821965,0.6215486818545306,170,0,0.0,0.0,0.0,0.022097483803655452,0,0,0.29870522690354223,0.08
random,shared_parameter_set,16,0.01,300,0.9933333333333333,1.0,0.9873570287754538,0.9999999999999998,0.45,0.394689901646408,0.5065743954760465,135,0,0.0,0.0,0.0,0.02766795201752491,0,0,0.459292939557369,0.08
random,scalar_wald,16,0.01,300,0.9933333333333333,1.0,0.9873570287754538,0.9999999999999998,0.49,0.43391704888051774,0.5463358105439731,147,0,0.0,0.0,0.0,0.02546686335923391,0,0,0.3921279244253396,0.08
random,shared_parameter_set,32,0.5,300,0.4866666666666667,0.7533333333333333,0.7015546972961404,0.7987061972834228,0.7566666666666667,0.7050648160221181,0.8017784587492817,227,3,0.01,0.013215859030837005,0.004504579766324356,0.03812839817001103,0,0,0.12571841987122886,0.05333333333333334
